,OFIPS,DFIPS,comm,quantity,startRR,ONode,DNode,ODIST
0,1067,47157,1,3453.2,88,,,
1,26147,17031,1,4343.2,103,,,
2,26147,48479,1,3026.0,103,,,
3,26147,48479,1,3026.0,103,,,
4,27069,27139,1,20569.68,103,,,
5,27069,29077,1,3453.2,103,,,
6,27071,17031,1,2919.2,103,,,
7,27071,19113,1,200182.36,103,,,
8,27071,19131,1,145582.64,103,,,
9,27071,22051,1,712.0,103,,,
10,27071,27137,1,22962.0,103,,,
11,27071,28049,1,712.0,103,,,
12,27071,48323,1,3310.8,103,,,
13,27071,48479,1,3310.8,103,,,
14,27071,55031,1,248147.13,103,,,
15,27071,55069,1,7312.24,103,,,
16,27071,55071,1,6265.6,103,,,
17,27071,55097,1,2705.6,103,,,
18,27071,55079,1,37486.8,103,,,
19,27071,47149,1,3809.2,103,,,
20,27071,31043,1,121011.52,103,,,
21,27071,48323,1,7476.0,103,,,
22,27071,55079,1,14667.2,103,,,
23,27071,48479,1,3193.32,103,,,
24,27077,50005,1,3204.0,103,,,
25,36029,37155,1,3488.8,103,,,
26,17031,26147,1,8686.4,103,,,
27,17031,27071,1,640.8,103,,,
28,17031,19131,1,5909.6,103,,,
29,17091,17031,1,1424.0,103,,,
30,17115,17143,1,62043.68,103,,,
31,19035,31055,1,3880.4,103,,,
32,19113,17085,1,2812.4,103,,,
33,19113,55015,1,2919.2,103,,,
34,27053,55071,1,14172.36,103,,,
35,28051,47157,1,28985.52,103,,,
36,47157,27071,1,2349.6,103,,,
37,47157,22071,1,8330.4,103,,,
38,55015,55015,1,6977.6,103,,,
39,55031,39095,1,2954.8,103,,,
40,55031,55015,1,2278.4,103,,,
41,16021,6097,1,19366.4,105,,,
42,16021,6099,1,3524.4,105,,,
43,16021,16067,1,2919.2,105,,,
44,16021,41029,1,3560.0,105,,,
45,16021,41035,1,2919.2,105,,,
46,16021,41039,1,9362.8,105,,,
47,16021,41051,1,28024.32,105,,,
48,16021,53015,1,3560.0,105,,,
49,26163,17031,1,783.2,105,,,
50,27069,17031,1,7298.0,105,,,
51,27069,27049,1,30292.04,105,,,
52,27069,27053,1,90755.08,105,,,
53,27069,27123,1,3275.2,105,,,
54,27069,31043,1,14777.56,105,,,
55,27069,48479,1,2776.8,105,,,
56,27069,48479,1,17800.0,105,,,
57,30101,53025,1,16482.8,105,,,
58,38013,17031,1,3524.4,105,,,
59,38013,27003,1,27946.0,105,,,
60,38013,27049,1,18430.12,105,,,
61,38013,27053,1,22602.44,105,,,
62,38013,27123,1,6977.6,105,,,
63,38013,27139,1,2954.8,105,,,
64,38013,29095,1,3488.8,105,,,
65,38013,38073,1,46397.48,105,,,
66,38013,38101,1,21157.08,105,,,
67,38013,55055,1,6728.4,105,,,
68,38013,55063,1,3524.4,105,,,
69,38013,55079,1,8373.12,105,,,
70,38013,12009,1,1495.2,105,,,
71,38013,12086,1,13812.8,105,,,
72,38013,12031,1,3916.0,105,,,
73,38013,37119,1,356.0,105,,,
74,38013,39061,1,712.0,105,,,
75,38013,21111,1,3524.4,105,,,
76,17031,26163,1,10359.6,0,,,
77,17031,36029,1,1530.8,0,,,
78,17031,38013,1,4094.0,0,,,
79,17031,27037,1,3310.8,0,,,
80,17031,55063,1,2947.68,0,,,
81,19067,27053,1,4791.76,0,,,
82,19067,29095,1,2883.6,0,,,
83,19163,27049,1,11534.4,0,,,
84,27053,26163,1,569.6,0,,,
85,27053,38013,1,6514.8,0,,,
86,27053,17031,1,3987.2,0,,,
87,27053,27049,1,2969.04,0,,,
88,27053,27139,1,3951.6,0,,,
89,27053,27169,1,7903.2,0,,,
90,27053,29095,1,15838.44,0,,,
91,27053,55055,1,3631.2,0,,,
92,27053,55079,1,33033.24,0,,,
93,27053,6037,1,178.0,0,,,
94,27083,55015,1,5318.64,0,,,
95,27089,27069,1,3417.6,0,,,
96,27089,27139,1,13392.72,0,,,
97,27089,29095,1,2670.0,0,,,
98,27089,55079,1,14482.08,0,,,
99,27089,48479,1,3666.8,0,,,
100,27113,27139,1,3987.2,0,,,
101,27113,38077,1,2883.6,0,,,
102,27123,27037,1,4592.4,0,,,
103,27137,27137,1,3926.68,0,,,
104,27147,17031,1,3382.0,0,,,
105,30091,38013,1,4229.28,0,,,
106,30091,53033,1,62958.6,0,,,
107,38009,55031,1,3962.28,0,,,
108,38013,27049,1,7689.6,0,,,
109,38013,27139,1,3524.4,0,,,
110,38023,27169,1,3382.0,0,,,
111,38023,53053,1,5286.6,0,,,
112,38049,27049,1,6408.0,0,,,
113,38055,17031,1,7084.4,0,,,
114,38055,27049,1,5767.2,0,,,
115,38055,27053,1,3560.0,0,,,
116,38055,27139,1,4058.4,0,,,
117,38055,6037,1,7048.8,0,,,
118,38055,48201,1,10074.8,0,,,
119,38055,53033,1,3987.2,0,,,
120,38055,36051,1,3524.4,0,,,
121,38061,38049,1,6343.92,0,,,
122,38071,55079,1,16041.36,0,,,
123,38075,27049,1,6728.4,0,,,
124,38075,27139,1,21146.4,0,,,
125,38075,38049,1,9067.32,0,,,
126,38075,48223,1,3524.4,0,,,
127,38075,53053,1,7625.52,0,,,
128,38077,27169,1,9579.96,0,,,
129,38077,29095,1,6265.6,0,,,
130,38099,17031,1,3595.6,0,,,
131,38099,29095,1,7511.6,0,,,
132,38101,27049,1,15379.2,0,,,
133,38101,27139,1,6343.92,0,,,
134,38101,38049,1,4058.4,0,,,
135,38101,38077,1,19117.2,0,,,
136,38101,55031,1,15154.92,0,,,
137,38103,17031,1,11249.6,0,,,
138,38103,27049,1,3204.0,0,,,
139,38103,27123,1,7191.2,0,,,
140,38103,48355,1,3666.8,0,,,
141,46065,55015,1,10573.2,0,,,
142,55031,27053,1,8366.0,0,,,
143,55079,19131,1,3417.6,0,,,
144,55079,55079,1,7155.6,0,,,
145,19103,19113,1,6418.68,111,,,
146,19113,19103,1,11797.84,111,,,
147,1053,6031,1,11320.8,127,,,
148,1053,53073,1,4912.8,127,,,
149,17193,39137,1,7048.8,155,,,
150,28083,47157,1,6799.6,177,,,
151,12031,12031,1,26564.72,263,,,
152,12031,12086,1,676.4,263,,,
153,12086,17031,1,676.4,263,,,
154,17031,19103,1,6717.72,316,,,
155,17031,19155,1,783.2,316,,,
156,17143,19103,1,19355.72,316,,,
157,19103,17031,1,15005.4,316,,,
158,20181,48355,1,3524.4,320,,,
159,20209,48479,1,7322.92,400,,,
160,48277,48355,1,4229.28,400,,,
161,26017,47093,1,7048.8,438,,,
162,26017,48479,1,5553.6,438,,,
163,18019,21111,1,88110.0,434,,,
164,1047,47157,1,13029.6,555,,,
165,1073,12086,1,14453.6,555,,,
166,1073,13211,1,7796.4,555,,,
167,13067,38013,1,1459.6,555,,,
168,13067,13051,1,1068.0,555,,,
169,13067,17031,1,3560.0,555,,,
170,13067,47157,1,1780.0,555,,,
171,13095,5131,1,13100.8,555,,,
172,13095,21067,1,15664.0,555,,,
173,13095,28075,1,2349.6,555,,,
174,13095,51015,1,9540.8,555,,,
175,13095,51800,1,6408.0,555,,,
176,13095,5119,1,10288.4,555,,,
177,13177,5131,1,9896.8,555,,,
178,13177,21067,1,19010.4,555,,,
179,13177,5119,1,6586.0,555,,,
180,13185,47157,1,35315.2,555,,,
181,13201,5131,1,16376.0,555,,,
182,13201,21067,1,12744.8,555,,,
183,13201,28075,1,2349.6,555,,,
184,13201,42129,1,2492.0,555,,,
185,13201,5119,1,13741.6,555,,,
186,13273,21067,1,6265.6,555,,,
187,13273,47157,1,20327.6,555,,,
188,13275,17031,1,6408.0,555,,,
189,13275,47157,1,3275.2,555,,,
190,13277,21067,1,6408.0,555,,,
191,13277,47157,1,86536.48,555,,,
192,13287,5131,1,3346.4,555,,,
193,13287,21067,1,34532.0,555,,,
194,13287,47157,1,6977.6,555,,,
195,13287,51015,1,3132.8,555,,,
196,17031,12086,1,3560.0,555,,,
197,17031,12031,1,3916.0,555,,,
198,17031,13067,1,2848.0,555,,,
199,17031,13211,1,8045.6,555,,,
200,17031,21067,1,6052.0,555,,,
201,17031,21111,1,6870.8,555,,,
202,17031,24043,1,5696.0,555,,,
203,17031,24510,1,4272.0,555,,,
204,17031,25017,1,356.0,555,,,
205,17031,34017,1,52688.0,555,,,
206,17031,34039,1,1780.0,555,,,
207,17031,36001,1,356.0,555,,,
208,17031,36029,1,2492.0,555,,,
209,17031,37119,1,5340.0,555,,,
210,17031,39049,1,1068.0,555,,,
211,17031,39095,1,3132.8,555,,,
212,17031,42011,1,4343.2,555,,,
213,17031,42017,1,19224.0,555,,,
214,17031,42035,1,3560.0,555,,,
215,17031,42043,1,7476.0,555,,,
216,17031,42077,1,12427.96,555,,,
217,17031,42079,1,4239.96,555,,,
218,17031,42095,1,356.0,555,,,
219,17031,42097,1,17942.4,555,,,
220,17031,42107,1,11666.12,555,,,
221,17031,42119,1,13528.0,555,,,
222,17031,47029,1,3524.4,555,,,
223,17031,47059,1,6408.0,555,,,
224,17031,47093,1,17978.0,555,,,
225,17031,51710,1,2492.0,555,,,
226,17031,51740,1,356.0,555,,,
227,17099,34003,1,2776.8,555,,,
228,17099,42077,1,2420.8,555,,,
229,17163,17163,1,7796.4,555,,,
230,17163,39135,1,6835.2,555,,,
231,17167,17163,1,1602.0,555,,,
232,17191,21111,1,21288.8,555,,,
233,18051,21111,1,14240.0,555,,,
234,18053,17163,1,7832.0,555,,,
235,21111,17031,1,6123.2,555,,,
236,21111,42035,1,5137.08,555,,,
237,25017,48201,1,462.8,555,,,
238,26163,51710,1,8544.0,555,,,
239,28075,13095,1,3524.4,555,,,
240,29095,42043,1,356.0,555,,,
241,29095,51710,1,356.0,555,,,
242,29510,42095,1,712.0,555,,,
243,29510,51710,1,712.0,555,,,
244,34017,17031,1,1424.0,555,,,
245,34039,38013,1,213.6,555,,,
246,34039,17031,1,1424.0,555,,,
247,34039,6077,1,747.6,555,,,
248,36019,42041,1,6194.4,555,,,
249,36091,42071,1,3026.0,555,,,
250,37101,17031,1,10110.4,555,,,
251,37101,47157,1,20509.16,555,,,
252,37119,38013,1,747.6,555,,,
253,39035,17031,1,356.0,555,,,
254,39035,51710,1,712.0,555,,,
255,39049,17031,1,2492.0,555,,,
256,39049,51710,1,10680.0,555,,,
257,39061,51710,1,1780.0,555,,,
258,39095,1103,1,3809.2,555,,,
259,39095,17031,1,15614.16,555,,,
260,39095,37097,1,3417.6,555,,,
261,39095,42041,1,10858.0,555,,,
262,39095,42097,1,2812.4,555,,,
263,39095,47065,1,6870.8,555,,,
264,42017,13121,1,356.0,555,,,
265,42017,17031,1,14240.0,555,,,
266,42043,17031,1,356.0,555,,,
267,45017,17031,1,6977.6,555,,,
268,45017,47157,1,3595.6,555,,,
269,45045,45019,1,1424.0,555,,,
270,47157,12031,1,2705.6,555,,,
271,47157,13051,1,712.0,555,,,
272,47157,13185,1,5696.0,555,,,
273,47157,13273,1,6265.6,555,,,
274,47157,42119,1,3773.6,555,,,
275,51710,17031,1,6764.0,555,,,
276,51800,13273,1,5696.0,555,,,
277,8105,48039,1,11392.0,696,,,
278,8105,6099,1,3310.8,696,,,
279,8105,55079,1,3382.0,696,,,
280,27071,48323,1,15493.12,706,,,
