,OFIPS,DFIPS,comm,quantity,startRR,ONode,DNode,ODIST
0,1067,47157,1,3453.2,88,1025.0,47008,0.0
1,26147,17031,1,4343.2,103,26030.0,17046,0.0
2,26147,48479,1,3026.0,103,26030.0,48013,0.0
3,26147,48479,1,3026.0,103,26030.0,48013,0.0
4,27069,27139,1,20569.68,103,27022.0,27054,0.0
5,27069,29077,1,3453.2,103,27022.0,29037,0.0
6,27071,17031,1,2919.2,103,27022.0,17046,0.0
7,27071,19113,1,200182.36,103,27022.0,19074,0.0
8,27071,19131,1,145582.64,103,27022.0,27040,0.0
9,27071,22051,1,712.0,103,27022.0,22005,0.0
10,27071,27137,1,22962.0,103,27022.0,27023,0.0
11,27071,28049,1,712.0,103,27022.0,28009,0.0
12,27071,48323,1,3310.8,103,27022.0,48019,0.0
13,27071,48479,1,3310.8,103,27022.0,48013,0.0
14,27071,55031,1,248147.13,103,27022.0,55001,0.0
15,27071,55069,1,7312.24,103,27022.0,55022,0.0
16,27071,55071,1,6265.6,103,27022.0,55021,0.0
17,27071,55097,1,2705.6,103,27022.0,55022,0.0
18,27071,55079,1,37486.8,103,27022.0,55034,0.0
19,27071,47149,1,3809.2,103,27022.0,47060,0.0
20,27071,31043,1,121011.52,103,27022.0,19052,0.0
21,27071,48323,1,7476.0,103,27022.0,48019,0.0
22,27071,55079,1,14667.2,103,27022.0,55034,0.0
23,27071,48479,1,3193.32,103,27022.0,48013,0.0
24,27077,50005,1,3204.0,103,27022.0,50001,0.0
25,36029,37155,1,3488.8,103,42083.0,37041,0.0
26,17031,26147,1,8686.4,103,17142.0,26030,0.0
27,17031,27071,1,640.8,103,17142.0,27022,0.0
28,17031,19131,1,5909.6,103,17142.0,27040,0.0
29,17091,17031,1,1424.0,103,17080.0,17046,0.0
30,17115,17143,1,62043.68,103,17194.0,17198,0.0
31,19035,31055,1,3880.4,103,19030.0,31031,0.0
32,19113,17085,1,2812.4,103,19010.0,17017,0.0
33,19113,55015,1,2919.2,103,19010.0,55038,0.0
34,27053,55071,1,14172.36,103,27039.0,55021,0.0
35,28051,47157,1,28985.52,103,28020.0,47008,0.0
36,47157,27071,1,2349.6,103,47008.0,27022,0.0
37,47157,22071,1,8330.4,103,47008.0,22023,0.0
38,55015,55015,1,6977.6,103,55038.0,55038,0.0
39,55031,39095,1,2954.8,103,55005.0,39043,0.0
40,55031,55015,1,2278.4,103,55005.0,55038,0.0
41,16021,6097,1,19366.4,105,38025.0,6004,0.0
42,16021,6099,1,3524.4,105,38025.0,6026,0.0
43,16021,16067,1,2919.2,105,38025.0,16019,0.0
44,16021,41029,1,3560.0,105,38025.0,41002,0.0
45,16021,41035,1,2919.2,105,38025.0,41002,0.0
46,16021,41039,1,9362.8,105,38025.0,41004,0.0
47,16021,41051,1,28024.32,105,38025.0,41011,0.0
48,16021,53015,1,3560.0,105,38025.0,53012,0.0
49,26163,17031,1,783.2,105,26052.0,17046,0.0
50,27069,17031,1,7298.0,105,27044.0,17046,0.0
51,27069,27049,1,30292.04,105,27044.0,27037,0.0
52,27069,27053,1,90755.08,105,27044.0,27053,0.0
53,27069,27123,1,3275.2,105,27044.0,27046,0.0
54,27069,31043,1,14777.56,105,27044.0,19052,0.0
55,27069,48479,1,2776.8,105,27044.0,48013,0.0
56,27069,48479,1,17800.0,105,27044.0,48013,0.0
57,30101,53025,1,16482.8,105,38025.0,53030,0.0
58,38013,17031,1,3524.4,105,38028.0,17046,0.0
59,38013,27003,1,27946.0,105,38028.0,27006,0.0
60,38013,27049,1,18430.12,105,38028.0,27037,0.0
61,38013,27053,1,22602.44,105,38028.0,27053,0.0
62,38013,27123,1,6977.6,105,38028.0,27046,0.0
63,38013,27139,1,2954.8,105,38028.0,27054,0.0
64,38013,29095,1,3488.8,105,38028.0,29052,0.0
65,38013,38073,1,46397.48,105,38028.0,38031,0.0
66,38013,38101,1,21157.08,105,38028.0,38027,0.0
67,38013,55055,1,6728.4,105,38028.0,55023,0.0
68,38013,55063,1,3524.4,105,38028.0,55015,0.0
69,38013,55079,1,8373.12,105,38028.0,55034,0.0
70,38013,12009,1,1495.2,105,38028.0,12009,0.0
71,38013,12086,1,13812.8,105,38028.0,12027,0.0
72,38013,12031,1,3916.0,105,38028.0,12028,0.0
73,38013,37119,1,356.0,105,38028.0,37071,0.0
74,38013,39061,1,712.0,105,38028.0,39024,0.0
75,38013,21111,1,3524.4,105,38028.0,21035,0.0
76,17031,26163,1,10359.6,0,17046.0,26052,0.0
77,17031,36029,1,1530.8,0,17046.0,36025,0.0
78,17031,38013,1,4094.0,0,17046.0,38028,0.0
79,17031,27037,1,3310.8,0,17046.0,27030,0.0
80,17031,55063,1,2947.68,0,17046.0,55015,0.0
81,19067,27053,1,4791.76,0,19029.0,27053,0.0
82,19067,29095,1,2883.6,0,19029.0,29052,0.0
83,19163,27049,1,11534.4,0,19021.0,27037,0.0
84,27053,26163,1,569.6,0,27053.0,26052,0.0
85,27053,38013,1,6514.8,0,27053.0,38028,0.0
86,27053,17031,1,3987.2,0,27053.0,17046,0.0
87,27053,27049,1,2969.04,0,27053.0,27037,0.0
88,27053,27139,1,3951.6,0,27053.0,27054,0.0
89,27053,27169,1,7903.2,0,27053.0,27031,0.0
90,27053,29095,1,15838.44,0,27053.0,29052,0.0
91,27053,55055,1,3631.2,0,27053.0,55023,0.0
92,27053,55079,1,33033.24,0,27053.0,55034,0.0
93,27053,6037,1,178.0,0,27053.0,6091,0.0
94,27083,55015,1,5318.64,0,27025.0,55038,0.0
95,27089,27069,1,3417.6,0,27064.0,38010,0.0
96,27089,27139,1,13392.72,0,27064.0,27054,0.0
97,27089,29095,1,2670.0,0,27064.0,29052,0.0
98,27089,55079,1,14482.08,0,27064.0,55034,0.0
99,27089,48479,1,3666.8,0,27064.0,48013,0.0
100,27113,27139,1,3987.2,0,27064.0,27054,0.0
101,27113,38077,1,2883.6,0,27064.0,38030,0.0
102,27123,27037,1,4592.4,0,27046.0,27030,0.0
103,27137,27137,1,3926.68,0,27023.0,27023,0.0
104,27147,17031,1,3382.0,0,27035.0,17046,0.0
105,30091,38013,1,4229.28,0,30014.0,38028,0.0
106,30091,53033,1,62958.6,0,30014.0,53006,0.0
107,38009,55031,1,3962.28,0,38007.0,55001,0.0
108,38013,27049,1,7689.6,0,38028.0,27037,0.0
109,38013,27139,1,3524.4,0,38028.0,27054,0.0
110,38023,27169,1,3382.0,0,38005.0,27031,0.0
111,38023,53053,1,5286.6,0,38005.0,53010,0.0
112,38049,27049,1,6408.0,0,38003.0,27037,0.0
113,38055,17031,1,7084.4,0,38016.0,17046,0.0
114,38055,27049,1,5767.2,0,38016.0,27037,0.0
