,ID,A_NODE,B_NODE,LENGTH,TTIME,CAPACITY,P1,P2,GAMMA,TADJ,ML_CLASS,LINK_TYPE,NO_RRS,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
0,13001,13008,45004,81.83464,100.205681633,8.3,0.052654,15.758774,25.0,0,3,2,1,555,0,0,0,0,0,0,0
1,45001,45004,45009,74.70305,81.4942363636,31.0,0.010519,21.631586,25.0,0,4,2,1,712,0,0,0,0,0,0,0
2,37001,37004,45057,106.03303,115.672396364,25.9,0.016849,15.758774,25.0,0,3,2,1,712,0,0,0,0,0,0,0
3,29001,29043,29044,48.89612,58.675344,51.6,0.006312,21.631586,25.0,0,1,2,2,802,777,0,0,0,0,0,0
4,29002,29028,29029,148.06777,197.423693333,25.8,0.012623,21.631586,25.0,0,1,2,1,802,0,0,0,0,0,0,0
5,20001,20046,20039,140.30666,153.061810909,72.0,0.006066,15.758774,25.0,0,1,2,1,802,0,0,0,0,0,0,0
6,22001,22021,22034,56.86853,85.302795,25.8,0.012623,21.631586,25.0,0,3,2,1,103,0,0,0,0,0,0,0
7,36001,36026,36004,67.50217,81.002604,258.0,0.001262,10.815793,10.0,0,1,4,1,712,0,0,0,0,0,0,0
8,25001,25005,33001,60.05686,90.08529,86.0,0.003787,21.631586,25.0,0,2,2,1,490,0,0,0,0,0,0,0
9,33001,33001,23003,71.05533,106.582995,51.6,0.006312,21.631586,25.0,0,3,2,1,490,0,0,0,0,0,0,0
10,54001,54021,42066,66.4191,159.40584,16.5,0.019724,21.631586,25.0,0,2,2,2,555,712,0,0,0,0,0,0
11,54002,54002,54021,26.42264,63.414336,16.5,0.019724,21.631586,25.0,0,2,2,1,712,0,0,0,0,0,0,0
12,45002,45014,45057,42.8529,57.1372,13.8,0.031592,15.758774,25.0,0,3,2,2,712,555,0,0,0,0,0,0
13,22002,22003,5018,93.6165,102.127090909,51.6,0.006312,21.631586,25.0,0,1,2,1,802,0,0,0,0,0,0,0
14,12001,12011,12012,94.71583,162.369994286,9.9,0.032873,21.631586,25.0,0,3,2,1,712,0,0,0,0,0,0,0
15,26001,26066,26036,28.86114,31.48488,51.6,0.006312,21.631586,25.0,0,0,2,1,103,0,0,0,0,0,0,0
16,26002,26026,26037,17.99896,19.6352290909,129.0,0.002525,21.631586,25.0,0,0,2,1,103,0,0,0,0,0,0,0
17,26003,26032,26035,2.52834,2.75818909091,258.0,0.001262,10.815793,10.0,0,0,2,1,103,0,0,0,0,0,0,0
18,26004,26028,26032,62.60445,75.12534,51.6,0.006312,21.631586,25.0,0,0,2,1,103,0,0,0,0,0,0,0
19,17001,17108,17203,19.65445,29.481675,86.0,0.003787,21.631586,25.0,0,0,2,2,103,802,0,0,0,0,0,0
20,18001,18055,18068,63.61724,69.4006254545,129.0,0.002525,21.631586,25.0,0,0,2,1,103,0,0,0,0,0,0,0
21,26005,26064,26026,10.81331,32.43993,43.0,0.007574,21.631586,25.0,0,0,2,1,103,0,0,0,0,0,0,0
22,18002,18054,26025,35.92311,39.1888472727,258.0,0.001262,10.815793,10.0,0,0,2,1,103,0,0,0,0,0,0,0
23,26006,26025,26026,10.56873,11.5295236364,25.8,0.012623,21.631586,25.0,0,0,2,1,103,0,0,0,0,0,0,0
24,26007,26065,26027,25.53417,27.8554581818,129.0,0.002525,21.631586,25.0,0,0,2,1,103,0,0,0,0,0,0,0
25,26008,26033,26035,7.91817,8.63800363636,86.0,0.003787,21.631586,25.0,0,0,2,1,103,0,0,0,0,0,0,0
26,26009,26033,26034,9.67713,23.225112,258.0,0.001262,10.815793,10.0,0,0,2,1,103,0,0,0,0,0,0,0
27,26010,26028,26030,51.12042,76.68063,27.5,0.011834,21.631586,25.0,0,0,2,1,103,0,0,0,0,0,0,0
28,26011,26030,26034,58.26608,63.5629963636,51.6,0.006312,21.631586,25.0,0,0,2,1,103,0,0,0,0,0,0,0
29,39001,39043,39084,1.60554,3.853296,27.5,0.011834,21.631586,25.0,0,1,2,4,555,712,103,856,0,0,0,0
30,17002,17097,17110,22.65096,24.7101381818,216.0,0.002022,7.879387,10.0,0,1,4,2,712,802,0,0,0,0,0,0
31,17003,17110,17139,10.28583,11.2209054545,216.0,0.002022,7.879387,10.0,0,1,4,2,712,802,0,0,0,0,0,0
32,17004,17080,17109,26.73938,32.087256,258.0,0.001262,10.815793,10.0,0,1,4,2,103,555,0,0,0,0,0,0
33,18003,18053,18075,62.93834,99.3763263158,25.8,0.012623,21.631586,25.0,0,3,2,1,712,0,0,0,0,0,0,0
34,18004,18011,18082,24.85255,39.2408684211,25.8,0.012623,21.631586,25.0,0,3,2,1,712,0,0,0,0,0,0,0
35,1001,1047,1026,30.87153,37.8018734694,16.5,0.019724,21.631586,25.0,0,2,2,1,555,0,0,0,0,0,0,0
36,17005,17064,17096,20.81242,24.974904,86.0,0.003787,21.631586,25.0,0,1,2,2,103,555,0,0,0,0,0,0
37,18005,18052,39079,85.91377,122.733957143,13.0,0.033698,15.758774,25.0,0,3,2,1,712,0,0,0,0,0,0,0
38,26012,26012,26023,45.26528,54.318336,51.6,0.006312,21.631586,25.0,0,3,2,1,555,0,0,0,0,0,0,0
39,39002,39121,39072,3.33132,5.71083428571,72.0,0.006066,15.758774,25.0,0,2,2,1,555,0,0,0,0,0,0,0
40,39003,39069,39006,49.23835,59.08602,51.6,0.006312,21.631586,25.0,0,1,2,1,712,0,0,0,0,0,0,0
41,39004,39024,39075,18.669,28.0035,258.0,0.001262,10.815793,10.0,0,1,4,2,712,555,0,0,0,0,0,0
42,48001,48111,48115,28.82223,31.4424327273,51.6,0.006312,21.631586,25.0,0,1,2,1,802,0,0,0,0,0,0,0
43,48002,48100,48115,48.65986,53.0834836364,51.6,0.006312,21.631586,25.0,0,0,1,1,802,0,0,0,0,0,0,0
44,48003,48054,48088,23.63215,28.35858,51.6,0.006312,21.631586,25.0,0,0,2,2,777,802,0,0,0,0,0,0
45,48004,48111,48112,14.12297,15.4068763636,51.6,0.006312,21.631586,25.0,0,0,2,1,802,0,0,0,0,0,0,0
46,48005,48104,48114,4.12864,4.50397090909,43.2,0.01011,15.758774,25.0,0,0,1,2,802,777,0,0,0,0,0,0
47,48006,48113,48114,3.34717,3.65145818182,51.6,0.006312,21.631586,25.0,0,0,1,1,802,0,0,0,0,0,0,0
48,48007,48104,48113,7.03153,12.0540514286,43.2,0.01011,15.758774,25.0,0,0,1,1,802,0,0,0,0,0,0,0
49,48008,48112,48113,4.7893,5.22469090909,258.0,0.001262,10.815793,10.0,0,0,2,1,802,0,0,0,0,0,0,0
50,48009,48107,48106,90.95457,99.2231672727,43.2,0.01011,15.758774,25.0,0,0,2,2,802,777,0,0,0,0,0,0
51,48010,48105,48106,20.16803,22.0014872727,36.0,0.012131,15.758774,25.0,0,0,2,2,802,777,0,0,0,0,0,0
52,48011,48104,48101,89.8276,134.7414,15.5,0.021038,21.631586,25.0,0,0,1,2,802,777,0,0,0,0,0,0
53,48012,48125,48104,48.67997,53.1054218182,25.8,0.012623,21.631586,25.0,0,1,1,1,802,0,0,0,0,0,0,0
54,48013,48110,48029,64.99395,70.9024909091,43.2,0.01011,15.758774,25.0,0,0,1,1,802,0,0,0,0,0,0,0
55,48014,48058,48110,51.76194,77.64291,8.3,0.052654,15.758774,25.0,0,0,1,2,802,777,0,0,0,0,0,0
56,48015,48109,48110,2.86119,3.12129818182,216.0,0.002022,7.879387,10.0,0,0,4,2,802,777,0,0,0,0,0,0
57,48016,48107,48109,47.64773,51.9793418182,21.6,0.020219,15.758774,25.0,0,0,1,1,802,0,0,0,0,0,0,0
58,48017,48091,48116,95.52788,143.29182,13.0,0.033698,15.758774,25.0,0,0,1,1,802,0,0,0,0,0,0,0
59,39005,39009,39039,34.46909,37.6026436364,129.0,0.002525,21.631586,25.0,0,1,3,1,555,0,0,0,0,0,0,0
60,39006,39070,39119,42.58861,46.4603018182,86.0,0.003787,21.631586,25.0,0,1,2,1,555,0,0,0,0,0,0,0
