,OID,ML_CLASS,LINK_TYPE,RR1,RR2,RR3,RR4,RR5,NO_TRACKS,SIGNAL,CAPY_CODE,FF_SPEED,East,SIGNAL_,TERRAIN_,DIRECTION_,SIDING_,MISSING_,AutoFlag_,A_NODE,B_NODE,LENGTH,oldID,RR6,AutoFlag1_,AutoFlag2_,AutoFlag3_,AutoFlag4_,AutoFlag5_,AutoFlag6_,ID,qty
0,-1,3,2,555,0,0,0,0,1,4,8,49,1,NON,HILLY,BI,25,0,0,13009,45004,81.8346442351,2999,0,0,0,0,0,0,0,1345001,8643445.0
1,-1,4,2,712,0,0,0,0,1,1,4,55,1,CTC,FLAT,BI,25,0,0,45004,45009,74.703047778,3236,0,0,0,0,0,0,0,4545001,27800032.0
2,-1,3,2,712,0,0,0,0,1,1,8,55,1,CTC,HILLY,BI,25,0,0,37004,45057,106.033031409,3154,0,0,0,0,0,0,0,3745001,3714479.8
3,-1,1,2,802,777,0,0,0,1,1,3,50,1,CTC,FLAT,BI,15,0,0,29043,29044,48.8961165577,20546,0,0,0,0,0,0,0,2929001,68248272.0
4,-1,1,2,802,0,0,0,0,1,2,3,45,1,ABS,FLAT,BI,15,0,0,29028,29029,148.067766415,20957,0,0,0,0,0,0,0,2929002,15488042.0
5,-1,1,2,802,0,0,0,0,1,1,6,55,1,CTC,HILLY,BI,5,0,0,20046,20039,140.306660514,25716,0,0,0,0,0,0,0,2020001,84039128.0
6,-1,3,2,103,0,0,0,0,1,2,3,40,1,ABS,FLAT,BI,15,0,0,22021,22034,56.8685250817,16394,0,0,0,0,0,0,0,2222001,2617305.0
7,-1,1,4,712,0,0,0,0,2,1,1,50,1,CTC,FLAT,BI,-99,0,0,36026,36004,67.502173419,424,0,0,0,0,0,0,0,3636001,283118592.0
8,-1,2,2,490,0,0,0,0,1,1,2,40,1,CTC,FLAT,BI,5,0,0,25005,33001,60.0568644309,83,0,0,0,0,0,0,0,2533001,5646968.0
9,-1,3,2,490,0,0,0,0,1,1,3,40,1,CTC,FLAT,BI,15,0,0,33001,23003,71.0553345715,17984,0,0,0,0,0,0,0,3323001,4282803.5
10,-1,2,2,555,712,0,0,0,1,4,3,25,1,NON,FLAT,BI,15,0,0,54021,42066,66.4190995514,13273,0,0,0,0,0,0,0,5442001,20238944.0
11,-1,2,2,712,0,0,0,0,1,4,3,25,1,NON,FLAT,BI,15,0,0,54002,54021,26.4226403533,1725,0,0,0,0,0,0,0,5454001,10598073.0
12,-1,3,2,712,555,0,0,0,1,4,7,45,1,NON,HILLY,BI,15,0,0,45014,45057,42.8529000622,3035,0,0,0,0,0,0,0,4545002,28216838.0
13,-1,1,2,802,0,0,0,0,1,1,3,55,1,CTC,FLAT,BI,15,0,0,22003,5018,93.6164979619,16261,0,0,0,0,0,0,0,2205001,49658832.0
14,-1,3,2,712,0,0,0,0,1,4,4,35,1,NON,FLAT,BI,25,0,0,12011,12012,94.7158328656,3481,0,0,0,0,0,0,0,1212001,200168.4
15,-1,0,2,103,0,0,0,0,1,1,3,55,1,CTC,FLAT,BI,15,0,0,26038,26034,25.2008067203,12873,0,0,0,0,0,0,0,2626001,57508992.0
16,-1,0,2,103,0,0,0,0,1,1,3,55,1,CTC,FLAT,BI,15,0,0,26028,26034,21.0875253193,7239,0,0,0,0,0,0,0,2626002,61288192.0
17,-1,0,2,103,0,0,0,0,2,2,1,55,1,ABS,FLAT,BI,-99,0,0,26026,26039,17.9989583482,7078,0,0,0,0,0,0,0,2626003,51405760.0
18,-1,0,2,103,0,0,0,0,2,1,1,55,1,CTC,FLAT,BI,-99,0,0,26033,26037,2.5283409676,31220,0,0,0,0,0,0,0,2626004,49068544.0
19,-1,0,2,103,0,0,0,0,1,1,3,50,1,CTC,FLAT,BI,15,0,0,26029,26033,62.6044479564,7167,0,0,0,0,0,0,0,2626005,6263682.0
20,-1,0,2,103,777,0,0,0,1,1,2,40,1,CTC,FLAT,BI,5,0,0,17108,17014,22.0295620662,6404,0,0,0,0,0,0,0,1717001,119885136.0
21,-1,0,2,103,0,0,0,0,2,2,1,55,1,ABS,FLAT,BI,-99,0,0,18055,18068,63.6172380936,6238,0,0,0,0,0,0,0,1818001,53032972.0
22,-1,0,2,103,0,0,0,0,1,2,2,20,1,ABS,FLAT,BI,5,0,0,26066,26026,10.8133140657,7077,0,0,0,0,0,0,0,2626006,621860.7
23,-1,0,2,103,0,0,0,0,1,1,1,55,1,CTC,FLAT,BI,-99,0,0,18054,26025,35.9231091453,8079,0,0,0,0,0,0,0,1826001,51400960.0
24,-1,0,2,103,0,0,0,0,2,2,3,55,1,ABS,FLAT,BI,15,0,0,26025,26026,10.5687260795,7074,0,0,0,0,0,0,0,2626007,51400960.0
25,-1,0,2,103,0,0,0,0,2,2,1,55,1,ABS,FLAT,BI,-99,0,0,26067,26028,25.5341733187,7088,0,0,0,0,0,0,0,2626008,61476184.0
26,-1,0,2,103,0,0,0,0,1,1,2,55,1,CTC,FLAT,BI,5,0,0,26035,26037,7.9181713241,7190,0,0,0,0,0,0,0,2626009,49068536.0
27,-1,0,2,103,0,0,0,0,2,1,1,25,1,CTC,FLAT,BI,-99,0,0,26035,26036,9.67713246912,7191,0,0,0,0,0,0,0,2626010,49068544.0
28,-1,0,2,103,0,0,0,0,1,4,2,40,1,NON,FLAT,BI,5,0,0,26029,26031,51.1204229499,7170,0,0,0,0,0,0,0,2626011,15051814.0
29,-1,0,2,103,0,0,0,0,1,1,3,55,1,CTC,FLAT,BI,15,0,0,26031,26036,58.26607801,7179,0,0,0,0,0,0,0,2626012,37950292.0
30,-1,1,2,555,712,103,856,0,1,4,2,25,1,NON,FLAT,BI,5,0,0,39043,39084,1.60554076973,817,0,0,0,0,0,0,0,3939001,44352396.0
31,-1,1,3,712,802,0,0,0,2,1,5,55,1,CTC,HILLY,SD,-99,0,0,17097,17110,22.6537323863,15669,0,0,0,0,0,0,0,1717002,94379512.0
32,-1,1,3,712,802,0,0,0,2,1,5,55,1,CTC,HILLY,SD,-99,0,0,17139,17110,10.2830558048,6246,0,0,0,0,0,0,0,1717003,94269512.0
33,-1,1,4,103,555,0,0,0,2,1,1,50,1,CTC,FLAT,BI,-99,0,0,17080,17109,26.7393751868,31143,0,0,0,0,0,0,0,1717004,80718896.0
34,-1,3,2,712,0,0,0,0,1,2,3,38,1,ABS,FLAT,BI,15,0,0,18053,18075,62.938342558,6068,0,0,0,0,0,0,0,1818002,32285300.0
35,-1,3,2,712,0,0,0,0,1,2,3,38,1,ABS,FLAT,BI,15,0,0,18011,18082,24.8525498471,6064,0,0,0,0,0,0,0,1818003,29986222.0
36,-1,2,2,555,0,0,0,0,1,4,3,49,1,NON,FLAT,BI,15,0,0,1047,1026,30.8715289982,3974,0,0,0,0,0,0,0,101001,9662573.0
37,-1,1,2,103,555,0,0,0,1,1,2,50,1,CTC,FLAT,BI,5,0,0,17064,17096,20.8124211767,22002,0,0,0,0,0,0,0,1717005,71163144.0
38,-1,3,2,712,0,0,0,0,1,2,8,42,1,ABS,HILLY,BI,25,0,0,18052,39079,85.9137704042,5385,0,0,0,0,0,0,0,1839001,14669946.0
39,-1,3,2,555,0,0,0,0,1,1,3,50,1,CTC,FLAT,BI,15,0,0,26012,26023,45.2652809402,7080,0,0,0,0,0,0,0,2626013,18531912.0
40,-1,2,2,555,0,0,0,0,1,1,6,35,1,CTC,HILLY,BI,5,0,0,39121,39072,3.33131657402,2610,0,0,0,0,0,0,0,3939002,1144994.5
41,-1,1,2,712,0,0,0,0,1,1,3,50,1,CTC,FLAT,BI,15,0,0,39069,39006,49.2383525322,31130,0,0,0,0,0,0,0,3939003,65593572.0
42,-1,1,4,712,555,0,0,0,2,1,1,40,1,CTC,FLAT,BI,-99,0,0,39024,39075,18.6690025582,16144,0,0,0,0,0,0,0,3939004,153257920.0
43,-1,1,2,802,0,0,0,0,1,1,3,55,1,CTC,FLAT,BI,15,0,0,48112,48116,28.8222338957,9780,0,0,0,0,0,0,0,4848001,87764360.0
44,-1,0,1,802,0,0,0,0,1,1,3,55,1,CTC,FLAT,SD,15,0,0,48101,48116,48.659861758,9775,0,0,0,0,0,0,0,4848002,34077212.0
45,-1,0,2,777,0,0,0,0,1,1,3,50,1,CTC,FLAT,BI,15,0,0,48054,48089,23.6321548083,9599,0,0,0,0,0,0,0,4848003,34512972.0
46,-1,0,2,802,0,0,0,0,1,1,3,55,1,CTC,FLAT,BI,15,0,0,48112,48113,14.1229685086,9799,0,0,0,0,0,0,0,4848004,88457984.0
47,-1,0,1,802,777,0,0,0,1,1,7,55,1,CTC,HILLY,SD,15,0,0,48105,48115,4.12864071663,9981,0,0,0,0,0,0,0,4848005,3889021.5
48,-1,0,1,802,0,0,0,0,1,1,3,55,1,CTC,FLAT,SD,15,0,0,48114,48115,3.34717376965,9800,0,0,0,0,0,0,0,4848006,51572916.0
49,-1,0,1,802,0,0,0,0,1,1,7,35,1,CTC,HILLY,SD,15,0,0,48105,48114,7.03153463481,9982,0,0,0,0,0,0,0,4848007,36744472.0
50,-1,0,2,802,0,0,0,0,2,1,1,55,1,CTC,FLAT,BI,-99,0,0,48113,48114,4.78929763472,14576,0,0,0,0,0,0,0,4848008,88317392.0
51,-1,0,2,802,777,0,0,0,1,1,7,55,1,CTC,HILLY,BI,15,0,0,48108,48107,90.9545678324,10049,0,0,0,0,0,0,0,4848009,84528744.0
52,-1,0,2,802,777,0,0,0,1,2,6,55,1,ABS,HILLY,BI,5,0,0,48106,48107,20.1680336408,10059,0,0,0,0,0,0,0,4848010,31146564.0
53,-1,0,1,802,777,0,0,0,1,2,4,40,1,ABS,FLAT,SD,25,0,0,48105,48102,89.8275975572,9804,0,0,0,0,0,0,0,4848011,463751.0
54,-1,1,1,802,0,0,0,0,1,2,3,55,1,ABS,FLAT,SD,15,0,0,48126,48105,48.6799721133,25980,0,0,0,0,0,0,0,4848012,41581832.0
